Group,Customer_Segment,Sales_Before,Sales_After,Customer_Satisfaction_Before,Customer_Satisfaction_After,Purchase_Made
Treatment,High Value,246.8621142097213,381.3375545299784,100.0,100.0,Yes
Control,High Value,156.97808447859475,179.33046351143602,98.78073492771196,100.0,No
Control,Medium Value,192.1267083410125,229.2780311449778,49.33376568403194,39.81184102884268,Yes
Control,High Value,191.71391751322253,222.4093562953567,89.96782704218455,85.12097519074193,Yes
Treatment,High Value,235.07149317447795,352.7568720796089,72.91985145581212,70.75322510464026,No
Control,High Value,217.77601332639472,259.9896243956994,100.0,100.0,Yes
Control,Low Value,188.33896253003337,232.58248579885085,53.45882198158094,63.46722449883956,Yes
Treatment,Low Value,164.63631906370986,242.3219339433057,50.557336938790826,63.47724520875917,No
Control,Low Value,136.6363152824632,162.7193515233652,50.29607851025652,46.96473643066456,Yes
Control,High Value,215.2826142380435,264.2998632701579,83.27203259267907,100.0,Yes
Treatment,Low Value,182.99078495831023,277.8915659929541,51.35488357781548,64.40241350614076,No
Treatment,Low Value,193.36515170745048,293.18381183311226,57.82708352005616,62.87584818573787,No
Treatment,Medium Value,199.89748271827628,317.38843608779985,74.92718784301869,75.32867379,No
Treatment,Low Value,213.2222876593125,341.428155688604,45.39979304129021,46.47630106153783,No
Treatment,Low Value,128.76663156266886,202.57829702148177,54.96175660876392,42.65810995393944,No
Control,Medium Value,162.78694724515825,197.0942672258629,64.78195876,71.75744553562056,Yes
Treatment,Low Value,145.40486887836266,226.8527581404369,59.25262599419791,53.19109377464451,No
Control,Medium Value,177.4821281977439,211.29715345658323,69.5147959,71.92052708,No
Treatment,Medium Value,233.9696098676108,366.8286060317677,67.70828315395103,78.12757290654804,Yes
Treatment,High Value,189.29619107042203,293.1901572789537,86.76226901400382,100.0,Yes
Treatment,High Value,213.82987530644004,327.93008138400563,81.47563847427371,92.56125036,No
Treatment,High Value,240.1381373460719,376.4099446511353,40.974332111291474,34.95949367798411,No
Treatment,Medium Value,193.18495579477457,310.19929371686385,76.52557802557959,79.21906066959345,Yes
Control,Medium Value,237.85569656507028,279.7706518997201,71.98760622155537,60.493966638846025,No
Control,Low Value,172.6411685732325,206.60242866331072,57.27935910520695,70.71121373921534,No
Treatment,Medium Value,204.4142284399109,329.58828330419203,63.89043879897751,70.36518793411983,No
Treatment,High Value,242.4301350605648,379.38913334192415,68.74292966697837,75.71080432470482,No
Control,High Value,329.8606829034405,393.67290836024006,70.24902619495936,88.77209225448352,Yes
Treatment,Low Value,158.72659422180826,259.98678414227686,59.857212195507714,75.04613478926734,Yes
Control,Low Value,235.151248656503,275.96398455865443,53.838076583072166,50.53983280652889,Yes
Control,Low Value,189.4750359499581,225.7613841181884,69.93064953546359,76.0,Yes
Treatment,Low Value,202.1712460648036,310.52976330741427,61.05205377170066,56.76579781556733,No
Treatment,Medium Value,227.6106187322048,358.5653166044325,50.97302497054243,57.58935169537693,No
Treatment,High Value,306.21071648603976,463.2741823076876,82.05345673284043,70.83106903,Yes
Treatment,High Value,197.15452056767944,307.78111505975056,91.79068417616044,87.87154083,Yes
Control,Medium Value,230.6858975658136,265.71879577364706,76.37909996676464,79.15259284976347,No
Treatment,Medium Value,263.1431143279257,409.97077881343097,71.44030034656885,72.24065480787068,Yes
Treatment,Medium Value,162.5573431467091,261.36898838703297,69.89900239441975,82.96803380302984,No
Control,Medium Value,233.0635881444844,281.1982445757548,72.57037971949434,89.10679226693156,Yes
Treatment,Low Value,189.9751683560368,289.6766784898028,61.58866173145128,72.27446841364849,No
Treatment,Low Value,172.98388248336013,278.2455652132549,48.24390996665973,57.36999578973897,No
Control,Medium Value,209.9688218117914,242.22829534334144,58.10238068297888,68.52570135356255,No
Control,Medium Value,232.6783461416444,279.1512328137533,81.77233858693052,85.86059695401217,No
Treatment,Low Value,164.12190114047567,265.49700321648817,56.567960220919055,65.16897289746989,Yes
Control,High Value,303.8260911376491,359.5862352685562,80.41938129442038,67.77779878665486,Yes
Treatment,Low Value,197.0511423746537,311.3391022727937,53.59453078947473,57.98897876411831,No
Treatment,Low Value,219.0361935436745,339.24682360420195,60.49654682794909,55.03503731587107,No
Control,Medium Value,135.93935889848956,154.69882441531493,84.65882285223245,78.32402355137249,No
Control,Medium Value,223.50117387758007,269.7194872320294,75.22736541608408,76.35429608229961,No
Control,Low Value,300.4804411575955,366.7769826796017,52.20041070819818,61.99341515521835,No
Treatment,Low Value,155.80569977614783,234.94630136428725,35.84196331674312,47.14056987869046,Yes
Control,High Value,257.83865904908504,303.9227621822666,74.67419965899143,84.21624213,Yes
Control,Low Value,231.65818430017143,285.22095469855327,53.32403096960018,60.64185333845226,No
Treatment,Medium Value,248.75274346575927,398.1542709470463,76.86537292832143,98.40703167,Yes
Control,Medium Value,240.31483191939444,288.2318834354134,79.68672645136365,90.3995298579234,Yes
Control,Medium Value,260.02720928154093,312.4596684,70.14801096460381,59.445862177030406,No
Control,Low Value,171.6731463151931,200.3716651507609,57.672489677052766,66.79891708674249,Yes
Control,High Value,216.0051496298113,253.73104393300005,89.06893311473351,100.0,Yes
Control,Low Value,146.4305639747237,184.9362751614012,50.83908375068065,50.621448035239546,Yes
Control,Low Value,137.61990152792285,162.055497276417,57.83707786729244,74.15855214,No
Treatment,Medium Value,287.7420648120068,451.2605225689732,63.78280617292977,68.73121434,Yes
Control,High Value,271.51358496837514,328.0195084439517,83.63152119,96.80895909,Yes
Treatment,High Value,366.27561088100543,576.6800260068277,100.0,100.0,No
Treatment,Medium Value,167.22618757103376,265.81665398685175,62.45751056,78.04242353662855,Yes
Treatment,Medium Value,177.15771773121077,271.6685596679185,68.34606852468814,76.34946955326508,Yes
Treatment,Medium Value,300.48123664536564,473.6535303889916,55.28594614301039,54.3145243337388,Yes
Control,Low Value,148.28088665371638,175.21329597828398,54.50363374,65.45166868704845,Yes
Control,Medium Value,185.86076916725585,221.71847093193367,78.69238582945903,100.0,No
Treatment,Low Value,161.07007586250873,252.62559595245813,56.05010067942868,50.58398810021666,No
Control,Low Value,225.31809996029187,266.8515008219877,53.60198977,58.57578831821999,No
Control,High Value,233.2289390032169,282.30773302154614,92.44283126,78.09002843480309,No
Control,Medium Value,279.0067097233544,334.784933810176,67.95951741705082,63.39739173948481,Yes
Treatment,High Value,202.0065922528436,327.64566796535826,100.0,100.0,Yes
Treatment,High Value,279.6280078660773,433.5118329939782,93.14271807578432,100.0,No
Control,High Value,113.65040023797252,134.62365979382352,80.55064422426287,88.04462331,Yes
Control,Low Value,153.8009713,185.24056213925755,53.99339475479981,63.761951445439664,Yes
Control,High Value,284.1010754697619,336.3134051963752,78.01517624,94.7030679700816,No
Treatment,Low Value,145.63885411176824,223.9316371855139,47.80650421339183,73.92144865,Yes
Control,Medium Value,224.8161423610573,260.05297539721585,69.58202887464886,78.12626579867006,Yes
Control,Low Value,180.74723301633944,211.6278305823595,56.24406510218231,60.61137789844747,No
Treatment,Low Value,212.50873936414493,324.1479396956715,49.39767608201197,51.78204064417786,No
Control,Medium Value,203.1619870573969,241.9566625876413,69.20878040288274,91.56001396528802,No
Control,Low Value,203.84622026439388,243.7668889196661,57.71402462,71.56332213528778,Yes
Treatment,High Value,181.20189302811,274.8689487384702,100.0,100.0,Yes
Treatment,High Value,291.1992413378143,461.2068903804615,86.36925152558338,100.0,No
Control,Medium Value,310.3848361504584,370.5331427812384,74.61389029807442,90.87922622913912,No
Treatment,Low Value,225.2504113023162,356.5781072537379,65.59595994954036,74.13652327734084,No
Control,Medium Value,179.4257946656782,216.81746997870945,78.81755483662342,74.96467936280483,Yes
Control,High Value,202.1032343353152,237.07564388643743,100.0,100.0,No
Treatment,Low Value,177.1537306159283,264.3715828539285,48.34540354542873,52.54263093498663,Yes
Treatment,Medium Value,224.4311302297537,352.50278228902056,61.005313250138656,72.32953638784495,Yes
Control,High Value,255.7471874592346,312.2032968566885,84.30022061490621,78.60387639960483,No
Control,Medium Value,82.1425627,105.56106320406828,65.81784129557809,51.52419148,Yes
Treatment,High Value,212.9256456484506,324.12429396748604,99.90089217072244,87.57079888673333,Yes
Treatment,Low Value,171.0233487373031,268.89850968395774,47.04630519133264,60.79448630232207,Yes
Treatment,Low Value,188.5165250113174,300.9221812523946,46.25445839441304,36.38753524501887,Yes
Treatment,Medium Value,268.6210450380396,432.46103348236056,65.27183512,63.46714720288593,Yes
Control,High Value,119.64730261740095,137.96819040405524,98.17907022529234,93.86734329255458,Yes
Control,High Value,226.18654844830127,265.0474588507297,83.93958270270495,91.84621169184456,No
Control,Medium Value,122.66710049200594,142.06512633138286,58.76579639599221,62.12201753691094,Yes
Treatment,Medium Value,224.67834461309133,348.1253509091818,63.61665788794658,53.05185732985963,Yes
Treatment,High Value,215.4691343723824,334.5186199041587,84.14466183314637,75.02944226081583,Yes
Treatment,Low Value,196.7558432400668,318.3264668721712,49.56884136929077,53.19912287169939,No
Control,Medium Value,249.54564669500127,291.9089220976475,84.41822463585015,83.41623280808449,No
Control,Medium Value,147.36555710483668,162.46087498141867,68.16268710229217,68.64344470930969,Yes
Control,Medium Value,188.92695158043543,226.8247018009479,65.98985897416246,76.70359578367375,Yes
Treatment,Low Value,254.09874891100483,385.8790854989512,53.70807847568192,58.90597248671399,No
Control,High Value,143.96149979830312,175.71836136415934,95.43064190649402,100.0,No
Control,High Value,228.3602633533104,276.47820216839915,76.52752925,94.7847399712284,No
Treatment,High Value,325.0465590644062,497.3764802712984,94.13298499176577,93.97616314,Yes
Control,Medium Value,236.5462230361329,289.1098929,65.31185266248195,67.50826872137095,No
Treatment,Low Value,207.2162175420665,331.24485745057444,47.411663289297024,57.33018425247665,No
Control,Low Value,164.80872332192487,195.9060364,38.810790854950845,45.960848515264914,No
Control,High Value,256.28853417490404,301.36245980402146,79.86501908479988,91.20934979045772,Yes
Treatment,High Value,182.1880112234213,299.6785474642809,100.0,100.0,No
Treatment,Medium Value,151.38313174100728,241.56085133779249,77.02321857295013,88.13525070821433,No
Control,Low Value,135.50630240506896,165.70365311238996,54.25451682888803,38.25263383786146,No
Control,Medium Value,223.23083436132,270.4462295868533,76.73062027148211,69.16620155940348,No
Control,High Value,302.2197835119416,374.0001265319493,66.36019649,68.67559520830444,Yes
Control,High Value,263.92774127542134,318.61709881330046,91.29460979151564,72.75351614242429,Yes
Treatment,Low Value,110.78269517038632,168.53960814386525,49.824165299359066,54.86902472618169,Yes
Treatment,Low Value,258.2566156770235,395.0494300785111,55.43405231509694,51.93255505904126,Yes
Control,High Value,204.78754640801628,249.3957206,81.91523265972525,68.66872878,No
Treatment,Low Value,170.75233787464438,261.5222764241405,57.35120769117206,66.77995273520308,No
Treatment,Medium Value,187.95868662889904,301.0204415655214,81.1712607,88.21729401853456,Yes
Control,Medium Value,222.61423438452945,253.1664875364348,60.63445276411105,55.92261820403658,No
Treatment,High Value,305.48222312672584,454.5992636714951,77.8425037,100.0,Yes
Treatment,Low Value,184.8421618749633,296.0034201386487,61.26662268107766,50.47319867310985,Yes
Treatment,Low Value,280.8083476888839,441.6405224759485,57.16592354909435,63.61586578058523,Yes
Control,Low Value,158.15366281581998,190.57445167458883,53.04523227845066,49.05435683058486,No
Control,Medium Value,264.0373470419908,332.0448196200089,79.27678348010546,68.50929223,No
Treatment,Low Value,225.23460449062765,355.5901843761232,55.45772521569123,61.420827570561954,No
Treatment,Medium Value,145.59045367369376,230.30018829742951,74.42190705355183,70.88341638,No
Treatment,Medium Value,263.0964160781277,410.9034943342583,73.44131669545824,74.27623135952854,No
Control,Medium Value,215.9619641624344,255.39408129718208,62.54150206176048,75.00424891604759,Yes
Treatment,Medium Value,156.71567739275002,249.1985836869975,52.79903327368211,55.35456149377268,No
Control,Low Value,96.56432573505244,113.78498354779808,31.47024474231137,76.0,Yes
Treatment,Low Value,177.1708690001145,276.0399307266912,40.51541173391914,42.37818115520826,Yes
Treatment,Low Value,176.4104552523348,282.3075885586385,50.74333361070783,42.754525920337386,No
Treatment,Medium Value,198.06185506230585,307.2467874950733,79.71501378399708,91.40556943625852,Yes
Treatment,Low Value,168.61543335620206,263.5531026682979,47.74740070606735,61.811805371184384,No
Treatment,Medium Value,230.1936020400145,360.00954906407503,66.18267294,77.65583793643853,No
Control,High Value,185.5870257831677,210.66633274645528,66.07550024107748,70.69452151272638,No
Treatment,Low Value,229.76233563044704,365.4886944797879,49.44921769360303,49.92882299044953,Yes
Treatment,Medium Value,203.84622026439388,316.89695559556594,81.07598514466048,94.68511549025776,No
Control,High Value,259.8056792588376,300.66635691006,100.0,100.0,Yes
Treatment,Medium Value,299.0237174,479.8454900674234,58.40964471085688,75.53858534203003,No
Treatment,Medium Value,231.2586708384381,353.2980932492497,79.65865689162477,89.03779537862958,No
Treatment,Low Value,230.87072046450737,354.71178021045614,61.52280347,59.460873454047785,No
Control,High Value,338.61278776035505,390.5128941655834,92.1390702337478,93.85889720609514,No
Control,Medium Value,222.4098993023981,265.9840337679386,69.50094739999675,83.23448526480405,No
Treatment,High Value,208.383666288312,316.43810782946923,94.73146785225664,90.7997942778332,No
Control,Medium Value,229.2038261179904,274.45538442580573,48.490767546444026,52.55293655367776,Yes
Treatment,Low Value,215.71654942226303,346.25382037511133,42.46992170618742,47.32227757888873,No
Control,Low Value,226.86328996832657,267.21006327876563,64.62413013884391,73.06404803520765,No
Treatment,Low Value,171.44386040607824,267.52155462780325,57.39705528919215,58.79371580361098,Yes
Treatment,Medium Value,215.50122353583208,327.6776992,89.97864034375183,84.69943299,Yes
Control,Low Value,58.691600837080415,69.37598273923848,48.20926833382279,44.08128371590747,No
Control,Low Value,144.94891693841595,169.69793712257265,59.18236746969444,70.70073835374039,No
Treatment,Low Value,175.73498386280625,272.33234668315305,45.44928394194776,49.04591713982549,No
Control,Low Value,152.03994409686777,176.4668807487308,51.97767436780192,62.714914615120975,Yes
Control,High Value,238.58704308893755,298.75008016566306,100.0,100.0,No
Treatment,Medium Value,257.9047335731287,385.6102261375301,87.9995339,88.59961114,No
Treatment,Low Value,178.3230927186801,274.4195078096932,47.74045519,51.43673745131189,No
Control,Low Value,262.2631270866966,315.6448952122709,55.74284070058032,59.73722434503217,Yes
Treatment,Low Value,207.83853754187328,314.900820181382,53.10975509,60.64600043660565,No
Treatment,High Value,201.99925562841293,304.3324457880822,77.38497489471969,81.69601136173715,Yes
Treatment,Medium Value,204.7421458115088,299.54271426119783,64.20527084763867,60.12490678437375,Yes
Control,High Value,229.1186422376841,273.5925547327318,100.0,100.0,No
Control,Medium Value,208.0623813212436,242.7361560764987,74.49050669293868,85.74717797120285,No
Control,High Value,135.0926804661451,154.05577707361144,91.52332172,88.13045050775023,Yes
Treatment,Low Value,169.3105631,252.0869825091669,54.08877561056829,63.03865567645965,Yes
Treatment,High Value,212.9432738714892,338.1335349475026,74.76470831375808,100.0,No
Treatment,Low Value,180.7948289287516,283.09680482205425,69.11918479428618,76.0,Yes
Treatment,High Value,248.5418586251698,370.8710053584762,90.34010506,97.20614539,Yes
Control,Medium Value,196.5441681417801,235.0026001657936,84.82747782,94.72925385912562,No
Control,Low Value,176.42862925598828,208.97369602277925,61.75447632959211,74.10596594157951,Yes
Control,High Value,221.9069333095325,262.4891360919693,81.57062099382159,73.91610725357769,Yes
Treatment,Medium Value,209.47707866825445,318.4664259337101,75.96333403339018,91.20222276866764,No
Treatment,Medium Value,181.9539171464793,295.69367992174057,76.71952106,75.45366780772584,Yes
Control,Low Value,206.2476634637062,234.3705787859528,54.991665875426975,64.04323593,Yes
Treatment,Low Value,102.78175493178551,164.29971972252028,58.57276637434544,66.45712496,Yes
Treatment,Low Value,168.1022543112523,264.1500882401737,53.21884283883847,56.88605248,No
Control,High Value,282.57208773985053,343.5326697784204,89.96938546998297,99.73269517693628,Yes
Control,High Value,255.17133807746504,294.1246972267175,100.0,97.03301828492611,Yes
Treatment,High Value,139.32172250593558,209.39492007373363,75.94349404085763,80.12870212409621,No
Control,Low Value,201.44327485011897,249.38899249246896,51.291317962405415,47.65388464138067,Yes
Control,Low Value,272.2035860709761,313.7713472250607,51.27390205740028,56.00130457669994,No
Control,Low Value,135.98599157725195,173.09916706830285,43.52565909781404,49.73526165065074,No
Control,High Value,280.5504672114458,319.9577774503054,79.21490901190069,56.30894976558029,No
Treatment,High Value,244.7160854826071,361.0912165,72.43866267141343,66.46897640496292,Yes
Treatment,Medium Value,262.0845445599104,400.3768849327625,80.03154643133728,79.85992388323271,Yes
Treatment,High Value,177.10392839701743,273.97143381001973,74.54375209612856,94.0869227459448,Yes
Control,High Value,230.1799700008201,266.6990420221962,100.0,100.0,No
Control,Low Value,145.20742403114713,156.39642475414863,49.68619696389953,46.793106958451965,Yes
Control,Medium Value,151.62307282990747,178.26264861221563,65.66485813769292,75.09432246134905,Yes
Control,High Value,251.6211027384832,298.57725918748736,94.13199729758816,88.31060418488644,No
Treatment,Medium Value,155.09101348145575,241.6518318964528,70.13480483309829,81.03366422597779,Yes
Treatment,Medium Value,158.46224336123754,254.38918038343127,74.43226907505638,76.60590958,Yes
Control,High Value,221.42562001957185,256.92246586251326,86.72716294952201,100.0,Yes
Control,High Value,306.3493415,368.1979361282935,73.46049612551441,76.22367986230974,No
Treatment,High Value,251.66199193011207,400.8590566719784,88.61086594177863,100.0,Yes
Treatment,High Value,199.2344323817887,299.61205926711585,65.19667103444733,66.44348595169714,Yes
Control,High Value,109.64365438523453,125.15207476852264,72.35488597154863,91.03683193,No
Treatment,Low Value,239.92759502767035,386.6800311673089,52.95326746133743,58.39743298039796,Yes
Control,Medium Value,180.6366899905788,213.95520263721804,58.187904149325895,73.92144865,Yes
Control,High Value,227.7128803687675,270.4859826085945,90.25653232995673,80.66317931086206,Yes
Treatment,High Value,305.8122177286451,476.7050680977261,87.56936730081848,100.0,Yes
Control,Medium Value,209.1741945832485,240.09823777285976,61.24440547570397,67.22449138855126,Yes
Control,Medium Value,273.50817348146364,327.17695140677745,82.45537059,99.19008617237208,No
Control,Medium Value,217.8616457655122,255.91117984016628,79.34467872861144,92.20659026601774,Yes
Control,Medium Value,305.7486400927727,359.98006766774915,75.58356987735127,99.97189368392036,Yes
Control,Medium Value,216.8584470913269,255.4450839477434,84.49471317849189,98.55654572696598,No
Control,High Value,164.1811200896175,197.9570180085249,90.76592802965048,76.01816037799627,Yes
Treatment,Medium Value,201.6606642432328,325.6419062681171,66.66655110760337,72.04730720913301,No
Control,Medium Value,177.37564173567847,204.36180391697616,74.09223004109326,77.9690074,Yes
Control,Medium Value,226.02028627585733,266.2284425134875,64.78268277915049,72.55029132897185,Yes
Control,High Value,118.75629014382416,141.7376655775107,64.11474161542691,74.81042401227208,Yes
Control,Medium Value,279.9616924273544,335.55967209678226,68.00584394791541,74.25524367,No
Control,High Value,283.4047513295649,333.91023475840603,75.63384236043113,67.87293540524789,Yes
Treatment,Low Value,251.26440383432927,377.8317564897528,58.88839876251025,56.44537769505007,Yes
Treatment,Low Value,123.43299307107038,198.7315829279236,55.29964218137312,55.47757248103526,Yes
Treatment,High Value,280.6163644437101,418.4642604056494,79.98241961716548,87.94987690327144,Yes
Treatment,Low Value,244.02080486081732,393.25188160950063,55.85277381143185,57.5549773,No
Control,Medium Value,189.22020206361185,224.9300962936802,65.04583611493108,68.75560404482106,No
Control,High Value,282.0208082761966,327.9768017919377,100.0,100.0,No
Treatment,Low Value,157.4513213397913,235.6985613435792,50.816192527421656,63.03794833096583,No
Treatment,High Value,272.1991787132847,426.0451410551247,94.23583961231576,100.0,No
Treatment,High Value,184.58155012243688,311.5142509281571,88.49947124176482,100.0,Yes
Control,High Value,216.35544645899927,257.91741720282664,100.0,99.60018661476428,Yes
Treatment,Medium Value,189.2269003508611,277.5606304946774,60.40883953556126,44.97322351,No
Control,Low Value,174.5785960391368,202.1476170310975,41.26384114126208,51.29258108,Yes
Treatment,High Value,237.4151433805848,363.4971960986195,100.0,100.0,No
Treatment,Low Value,197.86994218322351,304.96584765508635,60.67503207933424,73.92144865,Yes
Control,Medium Value,203.84622026439388,243.7668889196661,70.64807062781514,58.52624010670727,No
Treatment,High Value,246.09693092803943,378.8620963369652,74.00277115114247,74.85604789745294,No
Control,Medium Value,123.69522741798345,141.15369568092936,76.88853167011237,71.84203467734096,No
Treatment,High Value,266.2178205523141,419.3034729950302,97.57846937,99.35472925856774,No
